country name,year,inflation
Ghana,2012,11.18634094
Ghana,2013,11.66619231
Ghana,2014,15.48961603
Ghana,2015,17.1499695
Ghana,2016,17.45463471
Ghana,2017,12.37192155
Ghana,2018,7.808765166
Ghana,2019,7.143640033
Ghana,2020,9.887289563
Ghana,2021,9.971088675
Ghana,2022,31.2558951
Ghana,2023,38.10696563
Ghana,2024,22.84832812
Nigeria,1960,5.444327362
Nigeria,1961,6.279147235
Nigeria,1962,5.265632346
Nigeria,1963,-2.694655352
Nigeria,1964,0.856793146
Nigeria,1965,4.103458738
Nigeria,1966,9.690346084
Nigeria,1967,-3.726336765
Nigeria,1968,-0.476059059
Nigeria,1969,10.1559792
Nigeria,1970,13.75707992
Nigeria,1971,15.99911485
Nigeria,1972,3.457649752
Nigeria,1973,5.402664454
Nigeria,1974,12.67439318
Nigeria,1975,33.96418832
Nigeria,1976,24.3
Nigeria,1977,15.08783406
Nigeria,1978,21.70924574
Nigeria,1979,11.70973062
Nigeria,1980,9.97226199
Nigeria,1981,20.81282291
Nigeria,1982,7.697747247
Nigeria,1983,23.21233155
Nigeria,1984,17.82053329
Nigeria,1985,7.435344828
Nigeria,1986,5.717151454
Nigeria,1987,11.29032258
Nigeria,1988,54.51122478
Nigeria,1989,50.46668812
Nigeria,1990,7.364400306
Nigeria,1991,13.0069731
Nigeria,1992,44.58884272
Nigeria,1993,57.16525283
Nigeria,1994,57.03170891
Nigeria,1995,72.8355023
Nigeria,1996,29.26829268
Nigeria,1997,8.529874214
Nigeria,1998,9.996378124
Nigeria,1999,6.618373395
Nigeria,2000,6.933292156
Nigeria,2001,18.87364621
Nigeria,2002,12.8765792
Nigeria,2003,14.03178361
Nigeria,2004,14.99803382
Nigeria,2005,17.86349337
Nigeria,2006,8.22522152
Nigeria,2007,5.388007969
Nigeria,2008,11.58107517
Nigeria,2009,12.53782773
Nigeria,2010,13.74005214
Nigeria,2011,10.82613719
Nigeria,2012,12.2242413
Nigeria,2013,8.495518383
Nigeria,2014,8.04741088
Nigeria,2015,9.00943498
Nigeria,2016,15.69681264
Nigeria,2017,16.50226621
Nigeria,2018,12.09510652
Nigeria,2019,11.39642234
Nigeria,2020,13.24602343
Nigeria,2021,16.95284572
Nigeria,2022,18.84718778
Nigeria,2023,24.6595502
Nigeria,2024,33.24209665
